name,timestamp,anger,contempt,happiness,sadness,surprise,neutral
marina,1900-01-01 00:00:00,0.0,0.0,0.25,0.03,0.0,0.72
marina,1900-01-01 00:01:00,0.0,0.0,0.39,0.2,0.0,0.41
marina,1900-01-01 00:02:00,0.0,0.0,0.1,0.26,0.0,0.64
marina,1900-01-01 00:03:00,0.0,0.0,0.03,0.23,0.0,0.73
marina,1900-01-01 00:04:00,0.0,0.0,0.0,0.01,0.0,0.98
marina,1900-01-01 00:05:00,0.0,0.0,0.0,0.03,0.0,0.96
marina,1900-01-01 00:06:00,0.0,0.0,0.0,0.11,0.0,0.87
marina,1900-01-01 00:07:00,0.02,0.01,0.14,0.09,0.01,0.74
marina,1900-01-01 00:08:00,0.05,0.01,0.05,0.03,0.03,0.83
marina,1900-01-01 00:09:00,0.02,0.01,0.03,0.02,0.0,0.92
marina,1900-01-01 00:10:00,0.01,0.01,0.04,0.17,0.0,0.74
marina,1900-01-01 00:11:00,0.06,0.01,0.02,0.17,0.0,0.72
marina,1900-01-01 00:12:00,0.01,0.0,0.01,0.23,0.0,0.74
marina,1900-01-01 00:13:00,0.01,0.01,0.0,0.18,0.0,0.79
marina,1900-01-01 00:14:00,0.0,0.0,0.17,0.15,0.0,0.66
marina,1900-01-01 00:15:00,0.0,0.0,0.05,0.1,0.0,0.84
marina,1900-01-01 00:16:00,0.0,0.0,0.04,0.18,0.0,0.76
marina,1900-01-01 00:17:00,0.0,0.0,0.24,0.15,0.0,0.6
marina,1900-01-01 00:18:00,0.0,0.0,0.06,0.16,0.0,0.77
marina,1900-01-01 00:19:00,0.0,0.0,0.02,0.17,0.0,0.8
marina,1900-01-01 00:20:00,0.0,0.01,0.24,0.03,0.0,0.72
marina,1900-01-01 00:21:00,0.01,0.01,0.31,0.01,0.0,0.65
marina,1900-01-01 00:22:00,0.0,0.01,0.02,0.04,0.0,0.92
marina,1900-01-01 00:23:00,0.02,0.01,0.03,0.03,0.02,0.91
marina,1900-01-01 00:24:00,0.0,0.0,0.01,0.07,0.0,0.92
marina,1900-01-01 00:25:00,0.0,0.0,0.12,0.06,0.0,0.81
